pdf_x_pt,pdf_y_pt,fraction_1,cloud_point_f,normalized_F_using_measured_endpoints
231.954666,444.24942,0.3779287,-6.269469,0.16701004
233.07962,444.549347,0.38130708,-6.36854,0.16875733
234.129578,444.849274,0.38446023,-6.467612,0.17050461
235.254532,445.224182,0.38783861,-6.591451,0.17268872
236.379486,445.524109,0.39121699,-6.690522,0.17443601
237.50444,445.824036,0.39459537,-6.789593,0.1761833
238.629395,446.123962,0.39797375,-6.888664,0.17793059
239.754364,446.498871,0.40135217,-7.012503,0.18011469
240.879318,446.798798,0.40473055,-7.111574,0.18186198
241.929276,447.098724,0.4078837,-7.210646,0.18360927
243.05423,447.398651,0.41126208,-7.309717,0.18535656
244.179199,447.77356,0.41464051,-7.433556,0.18754067
245.304153,448.073486,0.41801889,-7.532627,0.18928795
246.429108,448.373413,0.42139727,-7.631698,0.19103524
247.554062,448.748322,0.42477564,-7.755537,0.19321935
248.679031,449.048248,0.42815407,-7.854608,0.19496664
249.728989,449.423157,0.43130722,-7.978447,0.19715075
250.853943,449.723083,0.4346856,-8.077519,0.19889803
251.978897,450.097992,0.43806398,-8.201358,0.20108214
253.103867,450.397919,0.44144241,-8.300429,0.20282943
254.228821,450.772827,0.44482078,-8.424268,0.20501354
255.353775,451.072754,0.44819916,-8.523339,0.20676083
256.478729,451.447662,0.45157754,-8.647178,0.20894494
257.528717,451.747589,0.45473079,-8.746249,0.21069222
258.653656,452.122498,0.45810912,-8.870088,0.21287633
259.778595,452.497406,0.46148745,-8.993927,0.21506044
260.903564,452.797333,0.46486588,-9.092998,0.21680773
262.028503,453.172241,0.46824421,-9.216837,0.21899184
263.153473,453.54715,0.47162264,-9.340676,0.22117595
264.20343,453.922058,0.47477579,-9.464515,0.22336006
265.328369,454.221985,0.47815412,-9.563586,0.22510734
266.453369,454.596893,0.48153264,-9.687425,0.22729145
267.578308,454.971802,0.48491097,-9.811264,0.22947556
268.703278,455.34671,0.4882894,-9.935103,0.23165967
269.828217,455.721619,0.49166773,-10.058942,0.23384378
270.953186,456.096527,0.49504616,-10.182781,0.23602789
272.003143,456.471436,0.49819931,-10.30662,0.238212
273.128082,456.846344,0.50157764,-10.430459,0.24039611
274.253021,457.221252,0.50495598,-10.554298,0.24258022
275.378021,457.596161,0.50833449,-10.678137,0.24476433
276.50296,457.971069,0.51171282,-10.801976,0.24694844
277.62793,458.420959,0.51509125,-10.950583,0.24956937
278.752869,458.795868,0.51846958,-11.074422,0.25175348
279.802856,459.170776,0.52162283,-11.198261,0.25393759
280.927795,459.620667,0.52500116,-11.346868,0.25655852
282.052734,459.995575,0.52837949,-11.470707,0.25874263
283.177704,460.445465,0.53175792,-11.619314,0.26136356
284.302643,460.820374,0.53513625,-11.743153,0.26354767
285.427612,461.270264,0.53851468,-11.891759,0.2661686
286.552551,461.645172,0.54189301,-12.015598,0.26835271
287.602539,462.095062,0.54504626,-12.164205,0.27097364
288.727509,462.544952,0.54842468,-12.312812,0.27359457
289.852448,462.919861,0.55180301,-12.436651,0.27577868
290.977417,463.369751,0.55518144,-12.585258,0.27839961
292.102356,463.819641,0.55855977,-12.733865,0.28102054
293.227325,464.269531,0.5619382,-12.882471,0.28364147
294.277283,464.719421,0.56509135,-13.031078,0.2862624
295.402222,465.169312,0.56846968,-13.179685,0.28888333
296.527191,465.619202,0.57184811,-13.328292,0.29150426
297.652161,466.069092,0.57522653,-13.476899,0.2941252
298.77713,466.518982,0.57860496,-13.625505,0.29674613
299.902069,467.043854,0.58198329,-13.79888,0.29980388
301.027008,467.493744,0.58536162,-13.947487,0.30242481
302.076996,467.943634,0.58851487,-14.096094,0.30504574
303.201935,468.468506,0.5918932,-14.269468,0.30810349
304.326874,468.918396,0.59527153,-14.418075,0.31072443
305.451843,469.443268,0.59864996,-14.591449,0.31378218
306.576813,469.96814,0.60202838,-14.764824,0.31683993
307.701782,470.41803,0.60540681,-14.913431,0.31946086
308.826721,470.942902,0.60878514,-15.086805,0.32251861
309.876709,471.467773,0.61193839,-15.26018,0.32557637
311.001678,471.992645,0.61531681,-15.433555,0.32863412
312.126617,472.517517,0.61869514,-15.606929,0.33169187
313.251587,473.042389,0.62207357,-15.780304,0.33474963
314.376526,473.567261,0.6254519,-15.953678,0.33780738
315.501495,474.167114,0.62883033,-16.151821,0.34130195
316.626434,474.691986,0.63220866,-16.325195,0.34435971
317.676422,475.216858,0.63536191,-16.49857,0.34741746
318.801361,475.816711,0.63874024,-16.696712,0.35091203
319.926331,476.341583,0.64211866,-16.870087,0.35396979
321.0513,476.941437,0.64549709,-17.068229,0.35746436
322.176239,477.54129,0.64887542,-17.266372,0.36095894
